text,label,category,tr_xlm_roberta,vader,org_lang
"Far out in the sea, the water is as blue as the leaves of the most beautiful grain flower and as clearly as the cleanest glass, but it is very deep, deeper than something anchor rope when many church towers had to be placed on top of each other, to reach from the bottom up over the water.",6.666666666666667,fairytales,0.0,0.5106,dk
Then the sea people live.,5.0,fairytales,0.0,0.0,dk
"Now one must not believe that there is only the naked white sandy bottom;No, there are the most marvelous trees and plants that are so supple in stalks and leaves that they are moving at the slightest movement of the water, just as if they were alive.",6.0,fairytales,0.0,0.7836,dk
"All the fish, small and large, slip between the branches, just like up the birds in the air.",6.333333333333333,fairytales,0.0,0.3612,dk
"In the very deepest place lies the sea king's castle, the walls are of corals and the long pointed windows of the clearest amber, but the roof are seashells that open and close as the water goes;It looks nice;for in each lies brilliant pearls, one would be a large city in a queen of crown.",8.0,fairytales,0.4690128564834595,0.9694,dk
"The king of the sea down there had been a widow for many years, but his old mother held a house for him, she was a wise wife, but proud of her nobility, so she went with twelve oysters on the tail, the other noble had to bear only six.",5.666666666666667,fairytales,0.3821158707141876,0.8519,dk
"Otherwise, she deserved a lot of praise, especially because she loved so much of the little sea princesses, her son -in -law.",6.333333333333333,fairytales,0.8614661693572998,0.83,dk
"They were 6 lovely children, but the youngest was the most beautiful of them all, her skin was as clear and cut as a rose blade, her eyes as blue as the deepest lake, but like all the others she had no feet, her body ended up in a fishing tail.",7.333333333333333,fairytales,0.5745205879211426,0.9508,dk
"Throughout the long day they could play down in the castle, in the large halls where living flowers grew out of the walls.",6.666666666666667,fairytales,0.49436983466148376,0.7579,dk
"The large amber windows were opened up, and then the fish swam in them, just as with us the swallows fly in as we open, but the fish swam straight to the little princesses, ate their hand and let themselves clap.",7.333333333333333,fairytales,0.0,0.0,dk
"Outside the castle was a large garden with fiery red and dark blue trees, the fruits beamed like gold, and the flowers like a burning fire in that they always moved stalks and leaves.",6.333333333333333,fairytales,0.463233083486557,0.0516,dk
"The earth itself was the finest sand, but blue, like Sulfur Lue.",6.0,fairytales,0.0,0.5023,dk
"All over there was a marvelous blue glow, one would rather think that one stood high up in the air and only saw sky above and below you than that one was on the bottom of the sea.",6.0,fairytales,0.5248381495475769,0.5719,dk
"In the steady one could eyes the sun, it seemed a purple flower, from whose cup the whole light emerged.",6.666666666666667,fairytales,0.551676332950592,0.0,dk
"Each of the little princesses had her little spot in the garden where she could dig and plant as she herself would;One gave his flower -spotted figure of a whale fish, another thought better that her looked like a little mermaid, but the youngest made his quite round like the sun, and had only flowers shining red like it.",5.666666666666667,fairytales,0.4353293180465698,0.8793,dk
"She was a strange child, quiet and thoughtful, and when the other sisters decorated the most wonderful things they had been given from stranded ships, she would only, besides the rosy flowers that looked like the sun that high up, have a beautiful marble support, a lovely boy it was, carved out of the white, clear stone and by stranding.",6.333333333333333,fairytales,0.0,0.9558,dk
"She planted at the support a rosy cry, it grew gloriously, and hung with her fresh branches over it, down towards the blue sandy base where the shade appeared violet and was in motion, just like the branches;It looked as if top and roots were playing to kiss each other.",6.666666666666667,fairytales,0.4689052402973175,0.9274,dk
"No joy was her greater than hearing about the human world there above;The old grandmother had to tell everything she knew about ships and cities, humans and animals, especially it seemed wonderful that up on the ground smelled the flowers, it did not do so on the bottom of the sea, and that the forests were green and the fish sowing between the branches could sing so loud and lovely, so it was a bright;It was the little birds that the grandmother called fish, otherwise they could not understand her as they had not seen a bird.",7.666666666666667,fairytales,-0.34645405411720276,0.9367,dk
"""When you reach your 15 years,"" said the grandmother, ""then you have to be allowed to dive out of the sea, sit in the moonlight on the rocks and see the big ships sailing past, forests and cities to see!""",6.0,fairytales,0.6607615947723389,0.0,dk
"In the year that came, one of the sisters was 15 years old, but the other, yes one was a year younger than the other, the youngest of them had even five years before she dared to get up from the bottom of the sea and see what it looked like with us.",5.0,fairytales,0.0,0.5499,dk
"But one promised the other to tell what she had seen and found most beautiful on the first day;for their grandmother did not tell them enough, there was so much they had to be told.",6.0,fairytales,0.4100775420665741,0.8717,dk
"No one was as longing as the youngest, just she, who had the longest time to wait and who was so quiet and thoughtful.",4.0,fairytales,0.0,0.144,dk
Many night she stood at the open window and looked up through the dark blue water where the fish struck with their fins and tail.,5.0,fairytales,0.0,0.0,dk
"Moon and stars she could see, though they shone quite pale, but through the water they looked much bigger than for our eyes;Then there was like a black cloud under them, then she knew it was either a whale fish that swam over her, or a ship with many people;They did not think that a lovely little mermaid was standing below and extending his white hands against the keel.",5.333333333333333,fairytales,0.0,-0.6259,dk
Now when the oldest princess was 15 years old and dared to rise above the sea surface.,5.0,fairytales,0.0,0.0,dk
"When she came back, she had a hundred things to tell, but the most wonderful thing, she said, was to lie in moonlight on a sandbank in the quiet lake, and look close to the coast the big city where the lights flashed, like a hundred stars, hear the music and the noise and noise of wagons and people, see the many church towers and spiers, and hear where the bells rang;Just because she couldn't get up there, she longed for all this.",6.666666666666667,fairytales,0.0,0.9528,dk
Oh!,5.666666666666667,fairytales,0.5024263262748718,0.0,dk
"Where did not hear the youngest sister after, and when she stood at the open window at night and looked up through the dark blue water, she thought of the big city with all that noise and noise, and then she seemed to hear the church bells ringing down.",5.333333333333333,fairytales,0.0,0.0,dk
"The following year, the other sister was allowed to rise through the water and swim wherever she wanted.",5.0,fairytales,0.0,0.0,dk
"She dived up, just as the sun went down, and that sight she found was the most beautiful.",6.666666666666667,fairytales,0.8560884594917297,0.6361,dk
"The whole sky had looked like gold, she said, and the clouds, yes, her essence she couldn't describe enough!",8.0,fairytales,0.6025679707527161,0.6696,dk
"Red and violet they had sailed across her, but far faster than those, flew, like a long white veil, a bunch of wild swans across the water where the sun was standing;She swam towards it, but it sank and the rose -duty switched off on the sea surface and the clouds.",7.0,fairytales,0.0,0.5023,dk
"The following year, the third sister came up there, she was the boldest of them all, so she swam up a wide river that ran out into the sea.",5.0,fairytales,0.0,0.3818,dk
"Lovely green highs with vines she saw, castles and farms looked between magnificent forests;She heard where all the birds sang and the sun shone so warm that she often had to dive underwater to cool her burning face.",8.0,fairytales,0.6302667856216431,0.875,dk
"In a small bay she met a whole bunch of little human children;Quite naked they ran and splashed in the water, she wanted to play with them, but they ran frightened their way, and there was a small black animal, it was a dog, but she had never seen a dog, it barked so terribly of her that she became anxious and searched out in the open lake, but never could forget the beautiful forests, the green talls and the beautiful children who could swim on the water, though they had no fishing hall.",5.333333333333333,fairytales,0.0,-0.9336,dk
"The fourth sister was not so bold, she was in the middle of the wild sea, and told that it was just the most beautiful;One saw many miles around it, and the sky above stood like a big glass bell.",7.0,fairytales,0.4543916583061218,0.8419,dk
"She had seen ships, but far away, they looked like beach gulls, the funny dolphins had beaten bucket, and the large whale fish had sprayed water out of their nostrils, so it had looked like a hundred water jumps around.",7.333333333333333,fairytales,0.0,0.9517,dk
Now came the trip to the fifth sister;Her birthday was just in the winter and therefore she saw what the others hadn't seen the first time.,5.0,fairytales,0.0,0.0,dk
"The lake was quite green out and around swam there big icebergs, each looked like a gem, she said, and was far greater than the church towers the people built.",6.0,fairytales,0.0,0.3612,dk
In the marvelous figures they showed up and glittered as diamonds.,7.0,fairytales,0.8653213977813721,0.7574,dk
"She had sat down on one of the biggest and all sailors crossed frightened by where she sat and let the wind fly with her long hair;But in the evening the sky was coated with clouds, the lightning and thundered, while the black lake lifted the large ice blocks high up and let them shine by the red lightning.",5.666666666666667,fairytales,0.41543474793434143,0.5423,dk
"On all ships, the sails were taken in, there was an anxiety and horror, but she sat calm on her swimming iceberg and saw the blue lightning beam beat in the zigzag into the shining lake.",4.666666666666667,fairytales,-0.461906373500824,0.0644,dk
"The first time one of the sisters came across the water, everyone was always delighted with the new and beautiful she saw, but when they were now, as adult girls, they were allowed to rise up when they wanted, it did not matter, they longed for the home, and after a month they said that down with them was the most beautiful, and there was so nice at home.",6.333333333333333,fairytales,0.48763662576675415,0.9409,dk
"Many evening hours, the five sisters took each other in their arms and rose in a row above the water;Lovely voices they had, more beautiful than any human, and when it pulled up to a storm so they could think that ships had to leave, they swam in front of the ships and sang so nice about how beautiful it was on the sea, and asked the sailors, not be afraid to get there;But these couldn't understand the words, they thought it was the storm, nor did they get the tightness down there, for when the ship sank, the people drowned, and came only as died to the Castle of the Sea King.",3.666666666666667,fairytales,-0.39926877617836,0.3321,dk
